question,path,score,relation_type
根据以下症状：患儿男，10岁，受凉后出现发热、咳嗽、乏力，随后出现心悸、胸闷、烦躁不安。查体时面色苍白、皮肤发凉、血压降低、心率加快，第一心音低钝，面诊给予扩容及血管活性药物后，病情加重至神志不清、面色青灰、呼吸急促，血压测不到。请问该患儿的休克类型是什么？,扩容治疗加重->诊断检查->超声心动图,0.64,诊断检查
对于一名75岁的男性患者，有16年高血压病史，平时血压为170/70mmHg，实验室检测显示空腹血糖为5.6mmol/L，肌酐为180μmol/L，尿蛋白为(++)，其收缩压至少应控制在多少以下？,高血压->并发症->肾损伤,0.85,并发症
根据患者60岁男性，症状包括反复咯血、咳痰粘稠、低热伴消瘦、活动后气短和乏力，以及X线胸片显示右肺上叶段片状及条索状阴影，并有透亮区、胸廓下陷、气管右移的情况，应首先考虑什么诊断？,肺结核->并发症->肺部感染和其他器官损害,0.71,并发症
根据尿频尿痛、尿中白细胞增多、小腹胀痛和苔黄脉滑数的症状，这位23岁女性患者应选用哪种中药方剂进行治疗？,泌尿系统感染->症状->尿频尿痛,0.92,症状
25岁男性患者，发热3天，体温38℃，左胸痛，查体发现左胸下部可闻胸膜摩擦音。根据这些症状和体征，诊断应是什么？,干性胸膜炎->治疗方法->NSAIDs,0.37,治疗方法
一名38岁的女性患者因反复肾结石入院，血钙水平为10mg/dl。口服钙负荷后，患者血钙未升高，但24小时尿钙排出量为350mg，空腹尿cAMP升高，口服钙负荷后尿cAMP降至正常。根据这些临床表现，最可能的诊断是什么？,甲状旁腺功能亢进->传染性->无,0.18,传染性
根据临床表现：一名30岁女性，阴道不规则流血持续20天，并伴有咳嗽症状。半年前曾进行人工流产，术后吸出物中看到绒毛组织。妇科检查发现子宫大小如40天妊娠，质地柔软，且双侧附件区各有约5cm的囊性包块。胸部X光显示双侧中下野多发棉球状阴影。请指出此患者最可能的诊断。,咳嗽->症状->支气管炎,0.09,症状
对于一名7岁女孩，出现尿频尿急5天并伴有寒战，全身温度39.0℃，双肾区有叩击痛，确诊这种情况下首选的检查是什么？,尿路感染->常用药品->复方磺胺甲噁唑,0.14,常用药品
一名48岁女性患者在车祸中导致右胫腓骨骨折，并在外固定术后两年进行复查。请根据复查结果描述最可能的诊断是什么？,假关节->诊断检查->X光片无法看到骨痂形成,0.31,诊断检查
一位35岁的初产妇在妊娠34周时出现心慌、不能平卧一天，体征为心率120次/分，呼吸30次/分，血压140/90mmHg，心界向左下扩大，双肺布满湿啰音，胎心率145次/分。请问针对这种情况，应该采取什么处理措施？,妊娠期心力衰竭->治疗方法->限制钠摄入与利尿,0.84,治疗方法
39岁女性，3个月前因怀孕2个月进行了人工流产，术后一直没有来月经，没有任何不适。自测基础体温呈现“双相”，妇科检查也无异常发现。根据该患者的情况，哪种处理方式是最佳的？,闭经->治疗方法->中药调经,0.59,治疗方法
王某，男，60岁，口渴欲饮9年，近半年小便频数且混浊如膏，甚则饮一溲一，面色黧黑，耳轮焦干，腰膝酸软，形寒畏冷，阳痿，舌淡苔白，脉沉细无力。根据这些症状，应该选择什么主要方剂进行治疗？,肾阳虚->治疗方法->金匮肾气丸,0.86,治疗方法
27岁女性患者，2年来多次在饭前昏迷，伴有恐惧感、心悸和发汗，且发觉及时进食可预防或缩短昏迷时间。发病以来食欲好，体重增加，但记忆力差。根据这些症状，应该考虑哪种医学诊断？,胰岛素分泌异常->检查疾病->低血糖,0.65,诊断检查
一位65岁女性患者，诊断为慢支炎急性发作，目前感染已控制，但双下肢仍水肿，仍有气促，心率大于120次/分，呼吸频率大于24次/分，双肺底可闻及湿性啰音，使用利尿剂无效。根据这位患者的病情，应选择什么治疗方案？,心功能不全->常用药品->利尿剂,0.57,常用药品
一名42岁的男性患者，突然出现阵发性腹痛，伴有腹胀和呕吐2天，体温38.5℃，脉搏93次/分，血压100/60mmHg。腹部饱胀并胀气，右下腹部有压痛，肠鸣音亢进。腹部X线平片检查显示小肠高度胀气、扩张，并有多个液气平面。请根据以上症状和检查结果，诊断该患者可能的疾病类型。,小肠梗阻 -> 治疗科室 -> 普外科,0.62,治疗科室
一名8岁男孩，左下后牙有洞，冷热刺激痛持续1年，疼痛在最近4天加重，尤其是昨晚，导致无法入眠。根据这些症状，最可能的牙科诊断是什么？,慢性牙髓炎->可能患有疾病->根尖周炎,0.88,可能患有疾病
在患者女性17岁海鲜过敏后的这次急性发作中，若出现喘急鼻煸、张口抬肩、胸高气促、面青、汗出、肢冷、脉浮大无根的症状，应使用什么药物进行治疗？,过敏性休克->治疗方法->氧气支持,0.92,治疗方法
65岁男性冠心病史，冠脉造影后恶心、食欲不振，实验室检查显示BUN为22mmol/L，肌酐为230mmol/L，尿量为500ml，血压140/80mmHg，最可能的诊断是什么？,急性肾损伤->并发症->肾衰竭,0.18,并发症
根据患者表现出的频繁呕吐、前囟饱满、高热、多次抽搐、颅缝增大、肌张力增高或偏瘫等症状，结合硬脑膜下穿刺流出清液的结果，该患儿最可能被诊断为何种疾病？,脑积水 -> 常用药品 -> 呋塞米,0.67,常用药品
一名28岁男性病人出现上腹痛1周、黑便3天、每天排便3～4次且量较多，并伴有头昏、乏力、心慌，有间断上腹痛病史3年，饮酒史4年且每天摄入2两白酒，曾有乙肝病史。基于这些临床表现，你认为该病人最可能的诊断是什么？,消化性溃疡->忌吃->辛辣食物,0.18,忌吃
针对一名在胆管结石行内镜下Oddi's括约肌切开术后出现头晕、大汗的25岁男性患者，在查体发现脉率120次/分，血压100/70mmHg，上腹压痛及肌紧张的情况下，首选的检查方法是什么？,术后并发症->检查方法->腹腔穿刺,0.91,诊断检查
根据患者的临床表现，辅助检查结果（特别是抗GBM抗体阳性、ANCA阴性、肾脏病理表现中的IgG和C3沿肾小球毛细血管壁呈光滑线条分布以及光镜下的新月体肾炎），明确该患者最可能的具体诊断是什么？,肾小管病->并发症->新月体肾炎,0.68,并发症
一名37岁的男性患者出现腹泻和呕吐，在体检时有口唇干燥、眼窝下陷及低血压的症状。请问，在这种情况下，哪一种确诊方法是最重要的？,呕吐->症状->脱水,0.36,症状
某肺心病患者在急性加重期治疗后病情好转，但出现躁动、手足抽搐，血清钾及氯均降低，HCO₃⁻为38mmol/L，二氧化碳分压为40mmHg。这种情况下，患者可能出现了什么病理变化？,代谢性碱中毒->检查疾病->血气分析,0.69,诊断检查
患者50岁男性，右足刺伤10天后出现张口困难、颈项紧、饮水诱发手足痉挛、频繁抽搐及呼吸道分泌物多。为保持呼吸道通畅，最有效措施是什么？,气管切开术->治疗方法->呼吸支持,0.05,治疗方法
一名45岁女性患者左乳头溢血性液体，并在乳晕区可以触及直径约绿豆大小的结节。针对这种乳房的临床表现，为了明确诊断，应该首先进行哪种检查？,乳腺结节->检查疾病->乳腺超声,0.35,诊断检查
一名6岁男孩患有法洛四联症，出现意识不清伴频繁抽搐、腹泻和呕吐等症状。结合病史和症状，他最可能的病因是什么？,法洛四联症->症状->低氧血症,0.92,症状
对于一位17岁女性患者，颏部发育不良，面下1/3高度偏大，存在Ⅱ类咬合关系，ANB角为7度，并且上下颌前牙明显拥挤。为了在治疗初期实现上颌磨牙的远中移动，哪种方法最为合适？,前牙拥挤->治疗方法->间隙再分配,0.73,治疗方法
一名18岁男性患者的X线胸片检查发现左侧胸腔第6胸椎旁有一直径约6cm的圆形肿块影，从这个位置和影像特征来看，这个肿块最可能的诊断是什么？,神经鞘瘤->疾病描述->神经源性肿瘤,0.78,疾病描述
描述一个6岁女童的病例，她于1月13日入院，症状包括畏寒、高热、头痛、呕吐、昏迷、大片淤斑、颈强直及不规则呼吸节律，并观察到左侧瞳孔直径大于右侧。她的血液检查结果为白细胞19.0×10^9/L，血压8/5.5kPa (60/40mmHg)。请根据这些信息，判断最可能的诊断是什么？,脑膜炎球菌败血症->并发症->感染性休克,0.58,并发症
42岁女性患者，症状包括厌食、乏力、肝区痛5天伴随尿色加深，检查结果显示ALT 400U，总胆红素50μmol/L，确诊为急性黄疸型病毒性肝炎。在这种情况下，最主要的治疗措施应该是什么？,急性黄疸型病毒性肝炎->症状->乏力、厌食,0.72,症状
13岁女生刷牙时牙龈出血，牙龈充血水肿，X线无牙槽骨吸收。最可能的诊断是什么？,青春期龈炎->症状->牙龈出血,0.87,症状
一个56岁的患者突然出现剧烈胸背部疼痛，短时间内出现截瘫或四肢瘫，病变水平以下出现痛温觉丧失而深感觉保留，同时大小便功能障碍。基于这些症状，应诊断为何种综合征？,急性脊髓前动脉综合征->症状->截瘫或四肢瘫,0.84,症状
对于一位46岁男性患者，出现心悸气短症状12年，并在心尖部听到舒张期隆隆样杂音，请描述心尖内侧听诊时可能出现的异常声音。,二尖瓣狭窄->症状->开瓣音,0.81,症状
对于一名12岁患儿，痫病发作10年且屡发不止，并伴有智力迟钝、记忆力差、少气懒言以及肢体不温等症状，舌淡苔白，脉沉细，哪种治疗方法最为适宜？,痫病->治疗方法->补肾益精,0.88,治疗方法
一名5岁男孩出现面部和外生殖器皮肤颜色加深、智力退化、行走困难以及无热惊厥等症状，体检发现全身皮肤呈褐色、四肢肌张力高、膝反射亢进及双侧巴氏征阳性。这种疾病最可能的遗传方式是什么？,肾上腺脑白质失养->治疗方法->对症治疗,0.78,治疗方法
一名5岁男孩出现面部和外生殖器皮肤颜色加深、智力退化、行走困难以及无热惊厥等症状，体检发现全身皮肤呈褐色、四肢肌张力高、膝反射亢进及双侧巴氏征阳性。这种疾病最可能的遗传方式是什么？,肾上腺脑白质失养->治疗方法->对症治疗,0.62,治疗方法
一位32岁的女性在遇到寒冷时，双手顺序出现苍白、青紫和潮红，病程已有3年，逐渐加重且每次发作持续15到30分钟。根据该患者被诊断为雷诺综合征，是否需要进行手术治疗？,雷诺综合征->治疗方法->手术治疗,0.31,治疗方法
根据CT值为-10HU、超声显示强回声、及MRI成像特征(T1加权像略低信号，T2加权像等信号，强化不明显)，25岁男性肝右叶下段1.5cm占位的最可能诊断是什么？,肝脏错构瘤->可能患有疾病->肝内低密度占位,0.66,可能患有疾病
一位29岁女性患者，出现腹胀、便秘9个月，乏力、食欲不振、消瘦，且症状在近5个月加重。体检发现右下腹触及4cm×6cm肿块，质地中等，边缘不清，并伴有轻触痛。基于这些症状和体征，该患者最可能患有哪种疾病？,肠结核->并发症->腹腔脓肿,0.62,并发症
一位25岁的女性患者近一周出现双侧枕部中度钝痛，站立行走时头痛加重，卧床休息时头痛减轻或消失。这种头痛最可能的原因是什么？,自发性颅内低压->症状->枕部钝痛,0.81,症状
一名67岁女性患者，乳腺出现包块并伴有乳头溢液，病程为一个多月，通过X线检查后，你认为最有可能是什么诊断？,乳腺疾病->症状->乳头溢液,0.61,症状
一位58岁男性患者因过劳而反复出现腰痛，表现为静卧时痛减，阴雨天气加重，左侧腰疼剧烈，不能转侧，白天症状较轻晚上较重，痛处拒按，舌苔薄白腻，脉象弦，应选择什么中药方剂进行首选治疗？,腰痛治疗->方剂选择->四物汤,0.58,常用药品
一名30岁的男性患者表现出大热烦躁、错语不眠、口燥咽干、小便黄赤、舌红苔黄和脉数有力的症状，请问针对这些症状适合选择哪种治疗方剂？,黄连解毒汤->症状->舌红苔黄,0.69,症状
一名50岁男性患者视力略减退，眼外检查无异常，但眼底检查显示静脉曲张、动脉变细，并且乳头面上出现大片状火焰状出血，同时视网膜反光增强以及可能出现黄白色类脂质变性及出血。根据这些临床表现，这种情况最可能的诊断是什么？,中央视网膜静脉阻塞->并发症->黄斑水肿,0.75,并发症
根据患者的症状和体征，乳房结块处颜色转红、隐痛、变软且按之应指，伴随潮热等症状，应采用哪种外治方法进行处理？,急性乳腺炎->症状->乳房结块,0.38,症状
32岁男性，右耳流脓1年，CT显示外耳道嵴骨消失、软组织密度影，听小骨及鼓室壁破坏。最可能的诊断是什么？,右耳流脓->并发症->耳聋,0.18,并发症
对于一个12岁的患者，出现两小腿皮肤米粒大小、鲜红色、微痒且触之碍手的斑疹，应该首选哪种中药方剂进行治疗？,风热湿疹->忌吃->辛辣食物,0.84,忌吃
27岁女性患者，2年来多次在饭前昏迷，伴有恐惧感、心悸和发汗，且发觉及时进食可预防或缩短昏迷时间。发病以来食欲好，体重增加，但记忆力差。根据这些症状，应该考虑哪种医学诊断？,低血糖发作->可能患有疾病->胰岛素瘤,0.89,可能患有疾病
一位28岁的男性因心悸气急被诊断为风湿性心脏病。最近一周症状加重，无法平卧，体检发现颈静脉充盈，心界左扩大，心率每分钟130次，心律齐整，心尖部闻及奔马律和Ⅲ级收缩期杂音，两肺底有细湿啰音，下肢稍肿。在这种情况下，综合治疗中哪种处理方法被认为效果最佳？,急性心衰->常用药品->呋塞米,0.63,常用药品
一个男性患者表现为全身水肿，皮肤绷紧光亮，伴有胸脘痞闷、烦热口渴，经过治疗略有好转但水肿反复发作，同时口咽干燥、大便干结，舌红少苔，脉象细弦数。针对这种情况，应使用何种中药方剂进行治疗？,猪苓汤->常用药品->猪苓,0.83,常用药品
51岁男性车祸后多发伤，休克表现，最佳诊断是什么？,多发外伤->诊断检查->血红蛋白测定,0.57,诊断检查
一位36岁的女性患者最近出现不规则阴道出血，月经量增多，阴道排液增多并有恶臭，针对这种情况，应该进行什么检查来明确诊断？,活检->检查疾病->宫颈癌,0.92,检查疾病
51岁男性车祸后多发伤，休克表现，最佳诊断是什么？,胸部压痛->可以治疗疾病->胸腔闭式引流,0.13,可以治疗疾病
一位19岁的女大学生来自山区，在城市上学时不能面对马路上的汽车，感到强烈恐惧并担心汽车会撞到自己，最佳的心理治疗方法是什么？,焦虑障碍->治疗方法->抗抑郁药,0.07,治疗方法
根据以下病例特征：患者18岁女性，上唇红肿疼痛持续5天，伴有寒战、高热、头痛；体检显示上唇隆起呈紫红色，中心组织坏死塌陷，伴随多个脓栓和鼻部、眼部及其周围广泛肿胀。化验结果表明白细胞总数增加，达到WBC 25×10^9/L，且中性粒细胞比例为0.90。这些临床表现和化验结果最可能的诊断是什么？,细菌感染->检查疾病->白细胞总数,0.14,诊断检查
根据患者60岁男性，症状包括反复咯血、咳痰粘稠、低热伴消瘦、活动后气短和乏力，以及X线胸片显示右肺上叶段片状及条索状阴影，并有透亮区、胸廓下陷、气管右移的情况，应首先考虑什么诊断？,肺结核->症状->咯血和消瘦,0.85,症状
根据以下症状和体征，判断该5岁患儿最可能的诊断：弛张高热、气促、咳嗽有黄痰，突然出现明显的呼吸困难、烦躁、剧烈咳嗽、面色发绀、不能平卧。查体发现胸廓饱满，上方鼓音，下方实音，呼吸音减弱，心率140次/分，肝大肋下2.0cm。这些表征说明患儿可能合并了哪种病症？,细菌性肺炎->并发症->脓气胸,0.75,并发症
对于一名6岁已确诊为室间隔缺损的儿童，如果出现近1周持续发热、体温达到39℃、伴有咳嗽、呼吸困难和口唇发绀，且白细胞显著增高的症状，该儿童最可能发生什么并发症？,室间隔缺损->并发症->心力衰竭,0.78,并发症
当患者出现小便点滴而下或尿如细线，甚至阻塞不通，小腹胀满疼痛，舌紫暗或有瘀点，脉涩等症状时，应选用哪个方剂进行治疗？,瘀血尿路阻塞->治疗方法->活血化瘀,0.85,治疗方法
如果患者表现出精神抑郁、神志呆钝、胸闷叹息、忧虑多疑、自语或不语、不思饮食，并伴有舌苔薄白或腻，脉弦细或弦滑，这些症状属于哪种中医证型？,气滞血瘀->症状->自语不语,0.54,症状
一名40岁女性患者在乳晕旁出现1cm圆形肿物，该肿物活动、边界清晰，挤压时乳头有血性液体溢出。这种临床表现最可能的诊断是什么？,乳腺乳头状瘤->治疗方法->手术切除,0.75,治疗方法
根据一名9岁男孩的症状，包括反复肢体抽搐、意识不清、记忆力减退，以及鼻翼旁颧部对称分布的浅粉色丘疹和智力低下，最先应进行哪种检查以帮助诊断？,意识不清->治疗方法->针灸推拿,0.11,治疗方法
一位45岁男性患者，有2年以干咳为主的间断咳嗽病史，每年秋季症状出现并伴有夜间憋气，使用多种药物抗感染治疗无效，且症状自行消失后又再次出现。体格检查和胸部X线片无异常，通气功能正常。为明确诊断，应该进行什么进一步的检查？,干咳->症状->季节性出现,0.76,症状
咳嗽咳痰、痰黄黏稠、痰中夹血、心烦易怒、胸胁刺痛、口干咽燥、舌红苔黄、脉弦数，应该使用哪个中药方剂进行治疗？,肺热痰火->常用药品->咯血方,0.92,常用药品
一位4岁女孩，身体瘦弱，不思饮食，食不知味，面色少华，精神乏力，多汗，且大便溏薄，常见不消化食物。舌淡苔薄白，脉象缓无力。根据这些症状，应该选用哪个基础方剂来进行调理？,脾胃虚弱->症状->大便溏薄,0.78,症状
对于一名56岁男性，症状包括大便次数增多、低热、厌食、消瘦，无抗生素疗效，甲状腺结节性肿大，心率加快和血压升高，以及甲状腺摄131I率3小时35%、24小时52%的情况下，若对抗甲状腺药物治疗无效，应该选择什么治疗方案？,甲亢->治疗方法->放射性碘治疗,0.88,治疗方法
一名48岁女性患者在车祸中导致右胫腓骨骨折，并在外固定术后两年进行复查。请根据复查结果描述最可能的诊断是什么？,骨折愈合延迟->症状->持续疼痛,0.92,症状
对于一位36岁初产妇，孕38周曾有不孕症病史，出现阵发性腹痛和见红，宫高40cm，腹围126cm，超声提示双顶径10.2cm，单胎，羊水指数20.6cm，在糖耐量试验正常的情况下，最佳的分娩方式是什么？,胎儿双顶径->症状->分娩方式选择,0.62,症状
50岁中段食管癌患者，进食性吞咽困难6个月，完全不能进食，恶液质，左锁骨上2cm硬性淋巴结，最优先选择的治疗方法是什么？,食管癌->并发症->营养不良,0.58,并发症
对于一名60岁男性患者，咳嗽和痰中带血2个月，胸部CT显示右上叶近胸壁处有一个6cm×6cm块状影，为进一步确诊，此病例首选的检查方法是什么？,肺癌->诊断检查->支气管镜检查,0.62,诊断检查
一名6个月大的男婴患有化脓性脑膜炎，经过抗生素治疗后情况好转，但体温下降后原方案继续进行，两天后体温再次升高至39°C，并伴有频繁呕吐和前囟饱满的症状。请问在这种情况下，应首先考虑哪种病情变化？,前囟饱满->宜吃->多喝水,0.06,宜吃
一位初产妇，25岁，怀孕1次，分娩0次。骨盆外测量正常，已经临产10小时，肛查显示宫口开大9cm，胎先露在S2+，宫缩时胎心下降至110次/分，宫缩后不能迅速恢复。这种情况下，最适合的处理方法是什么？,胎儿窘迫->症状->胎先露,0.57,症状
50岁男性患者在胃癌根治术后2小时出现腹腔引流出不凝血800ml，血压为86/60mmHg，中心静脉压从8cmH₂O降至4cmH₂O。请问在这种情况下最恰当的处理措施是什么？,失血性休克->并发症->心衰,0.21,并发症
患者李某，72岁，症状包括头晕目眩、耳鸣、记忆力差等，舌质淡红体胖大，苔薄白，脉沉弦无力。结合这些症状和舌脉表现，适合的治疗方法是什么？,肝肾阴虚->治疗方法->六味地黄汤,0.88,治疗方法
51岁男性车祸后多发伤，休克表现，最佳诊断是什么？,失血性休克->症状->低血压,0.81,症状
该患者在肌内注射妥布霉素3天后出现少尿、恶心呕吐、尿蛋白阳性和血肌酐显著升高，这一系列症状提示其最可能的肾病类型是什么？,妥布霉素->并发症->急性肾小管坏死,0.27,并发症
一名15岁的女性患者因心悸就诊，在体检中发现胸骨左缘第3至第4肋间有收缩期震颤，请问首先应该考虑是什么诊断？,先天性心脏病->症状->收缩期震颤,0.73,症状
患者出现大便赤白黏垢、腹痛绵绵、午后潮热、形瘦乏力、失眠盗汗、舌干红、少苔、脉细数等症状，应选用哪种方剂进行治疗？,阴虚湿热->治疗方法->滋阴清热药,0.58,治疗方法
一名28岁女性患者有4年反复水肿病史，最近一个月出现厌食、恶心、齿龈出血，且近1日解柏油样大便并逐渐昏迷。其血压为21.3／13.3kPa(160／100mmHg)，血红蛋白为70g／L，血小板计数为7×10^9/L。一年前该患者曾患肝炎现已痊愈。请你指出为了尽快明确该患者的诊断，哪项血液检查最有意义，并说明理由。,肝硬化->症状->齿龈出血,0.38,症状
根据发作性意识丧失和脑电图显示3Hz棘一慢波的症状，智力基本正常的6岁女童，应该选择哪种药物进行治疗？,失神癫痫->治疗方法->药物剂量调整,0.08,治疗方法
一名患者的x线胸片显示肺野外有多个半透明小圆形阴影，血HCG水平为220ng/ml。结合这些信息，该患者最可能的诊断是什么？,肺癌->症状->咳嗽,0.21,症状
一名32岁的男性因车祸导致右髋关节肿痛并活动受限，请根据X光片描述最可能的诊断类型是什么？,骨盆骨折->治疗方法->外科手术,0.75,治疗方法
一名45岁男性，有消化性溃疡病史，出现上腹部剧烈疼痛3小时并蔓延至全腹，呈持续性。查体发现板状腹，全腹压痛及反跳痛，肠鸣音消失。为了确诊病情，最重要需要做的检查是什么？,胃肠穿孔->治疗方法->紧急手术,0.23,治疗方法
一名20岁男性，发热1周，伴牙龈出血，实验室检查结果显示WBC高于正常水平，Hb和PLT低于正常水平，同时纤维蛋白原降低。为了确定出血的原因，可以进行哪种具体的检验？,凝血功能检测->检查项目->纤维蛋白降解产物（FDP）,0.74,诊断检查
心理医生通过详细了解病史和周密检查后，明确告诉患者他的躯体症状是功能性的而非严重的器质性疾病，从而减轻了患者的焦虑。心理医生这种行为在心理支持中被称为什么？,心理教育->可以治疗疾病->焦虑症,0.61,可以治疗疾病
根据患者夜间受凉后的症状表现，如腹痛、下痢赤白、恶寒发热、舌苔薄腻等，最佳治疗方剂是什么？,腹痛->可能患有疾病->寒湿泄泻,0.91,可能患有疾病
一个8岁的男孩发烧到39℃，接着出现右下腹疼痛和每天3到4次腹泻。体检显示脐部轻压痛，腹部柔软且无反跳痛。在这种情况下，你首先应该考虑哪种疾病的可能性？,耶尔森氏菌感染->并发症->肠穿孔,0.18,并发症
一名患者左足足跖部位有一个黄豆大小的角化性斑块，表面粗糙且局部有刺状物，周围有数个角化性小丘疹，并伴有明显的挤压痛。根据这些症状，最可能的诊断是什么？,跖疣->并发症->病毒感染,0.52,并发症
一个出生7天的男婴出现了啼哭和哺乳困难，临床检查发现其两颊黏膜和软腭充血，并出现散在的白色柔软小斑点，这些斑点用力擦拭后可以去掉。根据这些临床表现，该婴儿可能患有什么疾病？,鹅口疮->症状->啼哭和哺乳困难,0.85,症状
一位43岁的男性患者，出现全身高度浮肿、气喘、心悸、腹水和小便不利，脉象沉而有力。请问在治疗中应选择哪种中药方剂？,十枣汤->可以治疗疾病->水饮内停,0.06,可以治疗疾病
根据患者三年前左膝关节轻微外伤史，以及目前的症状和影像学检查结果，最可能的诊断是什么？,半月板损伤->诊断检查->MRI,0.28,诊断检查
35岁男性牙齿问题，怎么处理牙齿困难拔除？,牙齿问题->治疗->分段处理,0.51,治疗方法
患者女性，30岁，因进行性心悸、气促3个月来诊，查体发现BP90/70mmHg，心界向双侧扩大，随体位改变，伴有奇脉，心率120次/分，律齐，心音低弱遥远，无病理性杂音。根据这些临床表现，最可能的诊断是什么？,低血压+奇脉->症状->心包填塞,0.89,症状
根据一位30岁女性停经46天后出现下腹部隐痛和不规则阴道少量出血十余天的症状，加上尿妊娠试验可疑阳性和触摸到右侧附件有鸡蛋大韧性包块的情况，最可能的诊断是什么？,异位妊娠->症状->下腹部疼痛,0.91,症状
对于一名出现拒食、呕吐、嗜睡、面色青灰、前囟紧张和脐部有脓性分泌物的2个月女婴，最关键的诊断检查应该是什么？,脑脊液分析->诊断检查->细胞数、蛋白浓度变化,0.68,诊断检查
一位27岁经产妇在妊娠38周时阴道流血2日无痛，量如月经。产后检查发现胎膜破口距胎盘边缘4厘米，胎盘边缘有黑紫色陈旧血块附着。请问本例患者的最终诊断是什么？,前置胎盘->诊断检查->胎盘边缘陈旧血块,0.82,诊断检查
对于一位36岁初产妇，孕38周曾有不孕症病史，出现阵发性腹痛和见红，宫高40cm，腹围126cm，超声提示双顶径10.2cm，单胎，羊水指数20.6cm，在糖耐量试验正常的情况下，最佳的分娩方式是什么？,羊水指数->症状->分娩方式选择,0.56,症状
对于手术后反复胸痛、伴轻度呼吸功能不全的左肺癌患者，若使用解热消炎镇痛药效果不佳，考虑使用中枢性镇痛药进行治疗，应选择哪种口服药物？,左肺癌->症状->胸痛,0.91,症状
一名70岁男性患者，半年大便秘结，后逐渐变细，近4个月出现反复脓血样大便，每天3-4次，治疗稍缓解。5天前开始未排便，伴有呕吐及无法进食。体检发现全腹胀，无肠鸣音亢进及肿块，肛诊未触及肿块。结肠镜检显示距肛门10厘米处环形狭窄，呈菜花样外观且肠镜无法通过。请问这种临床表现最可能的诊断是什么？,克罗恩病->症状->肠道狭窄,0.21,症状
对于一名30岁的男性患者，他出现恶寒发热、咳嗽气喘，并伴有眼睑浮肿，随后四肢及全身皆迅速出现浮肿，还感到肢体关节酸楚，舌苔薄白，脉象紧。在此情况下，应该选择哪种中药配伍？,五苓散->可以治疗疾病->水湿停聚,0.64,可以治疗疾病
一名35岁的女性在进行甲状腺次全切手术后，出现高热、心率160次/分、烦躁不安、大汗淋漓和腹泻等症状。在这种情况下，应考虑的最可能诊断是什么？,甲状腺危象->检查疾病->甲状腺抗体检测,0.18,诊断检查
一名中年男性出现腰痛、尿频、尿急，CT检查显示右肾上极有一个直径约5厘米的略低密度占位，边缘模糊并呈现环形强化，邻近肾周围有积液。这种情况下，应首先诊断为什么？,肾结核->症状->尿频,0.22,症状
26岁女性，停经48天，出现阴道少量流血5天，偶有腹痛。月经平素规律，体温36.6℃，脉搏80次/分钟，血压120/65 mmHg。体检显示宫颈软，宫体稍大且软，附件无异常，血常规显示血红蛋白126g/L，白细胞计数7.3×10^9/L。请根据体征和检验结果，判断最可能的诊断是什么？,白细胞计数正常->传染性->无,0.03,传染性
一名20岁的女性患者出现发热、咳嗽、咳脓痰以及痰中带豆腐渣样物1天。X线胸片显示心包底左前侧有一直径7cm、密度不均、内有钙化的肿块。最可能的诊断是什么？,胸腔内畸胎瘤->治疗方法->外科手术切除,0.95,治疗方法
一名39岁女性患者出现低热、乏力、腹胀等症状，下腹触及明显肿块且体重减轻，结合影像学检查结果，最可能的诊断是什么？,腹部肿块->症状->卵巢囊实混合肿块,0.68,症状
1岁8个月女婴间断发热20天，抽搐，体温37.6°C，脾肿大，颈部抵抗和克氏征阳性。脑脊液白细胞260×10⁶/L，中性粒细胞40%，淋巴细胞60%，糖1.8mmol/L，氯280mmol/L。最可能诊断？,抽搐->症状->中枢神经系统感染,0.09,症状
一名45岁男性患者，食欲减退、乏力1年，血红蛋白为90g/L，红细胞体积分布直方图显示峰底增宽的双峰图形，这种血象变化最可能是由何种治疗状况所导致？,铁缺乏性贫血->治疗方法->补铁治疗,0.91,治疗方法
一名42岁女性患者，经历了3年的劳力性胸闷和气促，发作时硝酸甘油无效。查体时在胸骨左缘第3肋间听到收缩期杂音。为确诊，首选应进行哪项检查？,劳力性胸闷->症状->胸痛,0.43,症状
根据患者的症状描述，如何判断这位60岁男性右膝关节问题的中医证型？,风湿热痹->症状->关节肿胀,0.61,症状
51岁男性车祸后多发伤，休克表现，最佳诊断是什么？,创伤性休克->疾病描述->失血性休克表现,0.86,疾病描述
一个8岁的男孩发烧到39℃，接着出现右下腹疼痛和每天3到4次腹泻。体检显示脐部轻压痛，腹部柔软且无反跳痛。在这种情况下，你首先应该考虑哪种疾病的可能性？,耶尔森氏菌感染->疾病描述->右下腹疼痛,0.25,疾病描述
根据一位49岁女性患者，近半年来反复出现头痛、头晕、四肢麻木、周身发热、情绪不稳等症状，体检未见神经系统体征，X线片显示颈5~6椎体后缘轻度骨质增生，MRI显示颈髓无明显受压，你认为最可能的诊断是什么？,情绪不稳->宜吃->富含维生素B食物,0.71,宜吃
在一名男性患者摔倒后出现肩部疼痛，检查发现患肩下沉，患肢活动障碍，头向患侧偏斜，Dugas征阳性的情况下，最可能的诊断是什么？,肩关节前脱位->治疗方法->关节复位,0.14,治疗方法
在患者治疗1周后，虽然身热退去，黄疸减轻，呕吐止住，但仍有胁肋隐痛，脘痞腹胀，食少口干苦，小便赤苔腻，脉弦数。此时应选用哪个方剂进行治疗？请说明理由。,茵陈四苓散->治疗方法->清热利湿,0.85,治疗方法
